Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Algeria,,,,,,49
Argentina,"41,1","76,6",,,"78,6","79,5"
Armenia,,,,,,"65,9"
Australia,"39,3",,,,"47,4","39,7"
Azerbaijan,,,,,,"41,2"
Belarus,,"73,7",,,,"44,6"
Brazil,,"55,4",,,"50,3",49
Bulgaria,,,,,"60,1",
Burkina Faso,,,,,"47,6",
Canada,,,,,"33,7",
Chile,,"55,3",,,"69,9","72,3"
China,,24,,,17,"17,6"
Colombia,,,,,"58,2","64,6"
Cyprus,,,,,"30,4","31,4"
Czech Republic,,"54,3",,,,
Ecuador,,,,,,67
Egypt,,,,,,"45,2"
Estonia,,,,,,"32,1"
Ethiopia,,,,,"66,4",
Finland,"16,2",,,,"17,7",
France,,,,,"59,5",
Georgia,,,,,"66,3","57,6"
Germany,,,,,"41,1","26,4"
Ghana,,,,,"36,3",41
Haiti,,,,,,"90,2"
Hungary,"10,8",,,,"43,5",
India,,"36,1",,,"26,1","33,7"
Indonesia,,,,,"46,8",
Iran,,,,,"55,8",
Iraq,,,,,,"39,9"
Italy,,,,,"46,9",
Japan,"28,3",37,,,17,"15,9"
Jordan,,,,,"9,8","25,2"
Kazakhstan,,,,,,"49,4"
Kuwait,,,,,,"22,4"
Kyrgyzstan,,,,,,"49,4"
Lebanon,,,,,,"53,5"
Libya,,,,,,"41,1"
Malaysia,,,,,"22,4","19,7"
Mali,,,,,"33,9",
Mexico,"47,5","46,3",,,"60,8","68,2"
Moldova,,,,,69,
Morocco,,,,,"34,9",36
Netherlands,,,,,"53,6",34
New Zealand,,,,,"50,2",33
Nigeria,,"35,4",,,,"54,2"
Norway,,,,,14,
Pakistan,,,,,,"51,4"
Palestine,,,,,,"47,1"
Peru,,,,,"89,1","81,3"
Philippines,,,,,,"34,1"
Poland,,"47,2",,,"61,8","52,5"
Qatar,,,,,,"8,1"
Romania,,,,,"64,6","61,6"
Russia,,"59,3",,,"58,2","60,3"
Rwanda,,,,,"20,7","39,8"
Slovakia,,"62,5",,,,
Slovenia,,,,,"63,9","70,6"
South Africa,"36,4","24,6",,,"32,7","46,1"
South Korea,"18,8","33,2",,,"49,1","32,7"
Spain,,"50,4",,,"43,3","58,3"
Sweden,"25,5",,,,"25,3","21,4"
Switzerland,,,,,"22,5",
Taiwan,,,,,"60,3","45,7"
Thailand,,,,,"28,1","23,1"
Trinidad and Tobago,,,,,"66,1","61,2"
Tunisia,,,,,,"45,8"
Turkey,,"35,6",,,"23,7","29,5"
Ukraine,,,,,"60,2","74,8"
United Kingdom,,,,,38,
United States,"47,6",,,,"40,9","44,1"
Uruguay,,,,,"42,7","44,3"
Uzbekistan,,,,,,"11,8"
Vietnam,,,,,"9,3",
Yemen,,,,,,"64,5"
Zambia,,,,,"48,1",
Zimbabwe,,,,,,"40,5"
