Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,"45,8",33,,
Algeria,,,,"10,6",,"25,6"
Argentina,"53,3","54,8","48,9","39,7","43,8","47,1"
Armenia,,,"30,6",,,"18,3"
Australia,"44,2",,57,,"60,4","67,2"
Azerbaijan,,,"25,5",,,"54,1"
Bangladesh,,,"1,5","1,4",,
Belarus,,"46,7",25,,,"26,8"
Bosnia and Herzegovina,,,,"49,2",,
Brazil,,"25,2",,,"22,5","29,1"
Bulgaria,,,"38,2",,"37,4",
Burkina Faso,,,,,"19,4",
Canada,,,,"40,6","38,8",
Chile,,24,"19,9","21,8","30,2","41,9"
China,,"91,9",,,"36,3","51,7"
Colombia,,,18,,"19,5","25,4"
Croatia,,,"41,7",,,
Cyprus,,,,,"34,1","32,6"
Czech Republic,,"60,3","63,4",,,
Dominican Rep.,,,"27,3",,,
Ecuador,,,,,,"22,3"
Egypt,,,,16,,26
El Salvador,,,"37,3",,,
Estonia,,,"37,5",,,33
Ethiopia,,,,,"37,9",
Finland,"51,2",,"43,7",,"35,3",
France,,,,,"51,4",
Georgia,,,"19,3",,"5,3","12,1"
Germany,,,"70,5",,"58,5","60,5"
Ghana,,,,,"9,7","10,7"
Guatemala,,,,,"14,6",
Haiti,,,,,,"88,4"
Hungary,"58,5",,"54,2",,"49,9",
India,,"14,9","23,6","17,1","14,7","3,8"
Indonesia,,,,"3,2","5,5",
Iran,,,,"12,8","24,9",
Iraq,,,,"21,9","17,8","22,8"
Italy,,,,,"24,9",
Japan,"81,1","87,8","80,7","83,8",86,"79,3"
Jordan,,,,"8,8","5,8","24,4"
Kazakhstan,,,,,,"38,1"
Kuwait,,,,,,"19,4"
Kyrgyzstan,,,,"32,2",,"47,8"
Latvia,,,"33,8",,,
Lebanon,,,,,,"54,2"
Libya,,,,,,"45,6"
Lithuania,,,"28,3",,,
Macedonia,,,"63,5","52,9",,
Malaysia,,,,,"9,2","8,6"
Mali,,,,,"6,8",
Mexico,"29,4","23,6","23,7","18,1","29,6","35,8"
Moldova,,,"23,3","17,9","29,6",
Morocco,,,,"0,3",9,"9,3"
Netherlands,,,,,"63,8","70,2"
New Zealand,,,"55,6",,"53,7","48,4"
Nigeria,,"12,4","16,6","5,2",,"7,9"
Norway,,,"46,1",,"49,1",
Pakistan,,,"20,7","11,7",,"1,9"
Palestine,,,,,,"28,6"
Peru,,,"28,6","28,9","47,9","32,7"
Philippines,,,"5,9","8,4",,"5,2"
Poland,,"15,9","31,9",,27,"39,9"
Puerto Rico,,,"14,1","15,9",,
Qatar,,,,,,"13,2"
Romania,,,"18,9",,"11,9","26,2"
Russia,,"31,7",32,,"29,4","30,6"
Rwanda,,,,,"21,6","39,8"
Saudi Arabia,,,,"3,2",,
Serbia,,,"58,1","43,7",,
Slovakia,,"49,7","40,2",,,
Slovenia,,,"61,1",,"64,1","73,8"
South Africa,"29,8","16,8","15,2","16,6",15,"21,8"
South Korea,"36,7",42,"57,4","48,8",51,"49,3"
Spain,,"55,6","50,6","57,1","66,7","71,1"
Sweden,"60,4",,"49,3","53,3","43,2","47,4"
Switzerland,,,"58,1",,"53,7",
Taiwan,,,"36,5",,"69,2","27,3"
Tanzania,,,,7,,
Thailand,,,,,"30,6",24
Trinidad and Tobago,,,,,"49,4","32,1"
Tunisia,,,,,,"47,2"
Turkey,,"33,8","29,1","26,5","27,7",25
Uganda,,,,"10,5",,
Ukraine,,,"29,8",,"24,1","24,8"
United Kingdom,,,,,"49,6",
United States,"23,5",,"23,8","25,3","32,5","40,6"
Uruguay,,,"44,2",,"49,3","57,4"
Uzbekistan,,,,,,"15,2"
Venezuela,,,"25,6","23,5",,
Vietnam,,,,"73,9","41,9",
Yemen,,,,,,"18,7"
Zambia,,,,,"12,6",
Zimbabwe,,,,"15,3",,13
