Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,"40,9","40,8",,
Algeria,,,,"30,2",,"40,2"
Argentina,"80,3","71,6","73,5","69,3","64,6",67
Armenia,,,"27,6",,,"11,3"
Australia,"33,1",,"31,7",,"16,1",12
Azerbaijan,,,"42,1",,,"25,1"
Bangladesh,,,"39,5","24,7",,
Belarus,,"38,5","26,2",,,"25,3"
Bosnia and Herzegovina,,,,"38,9",,
Brazil,,"33,2",,,30,"36,3"
Bulgaria,,,"17,4",,"25,9",
Burkina Faso,,,,,"28,1",
Canada,,,,"36,3","26,9",
Chile,,"59,5","43,6","51,2","41,4",44
China,,"9,7",,"2,6","7,6","6,8"
Colombia,,,"38,3",,"38,2","43,2"
Croatia,,,"21,1",,,
Cyprus,,,,,"32,1","32,3"
Czech Republic,,"60,1","54,2",,,
Dominican Rep.,,,"66,7",,,
Ecuador,,,,,,"41,9"
Egypt,,,,"42,9",,
El Salvador,,,"54,5",,,
Estonia,,,"49,5",,,"26,3"
Ethiopia,,,,,"54,7",
Finland,"28,6",,"18,1",,"12,1",
France,,,,,"31,2",
Georgia,,,"46,3",,"28,2","20,8"
Germany,,,"52,6",,"46,1",33
Ghana,,,,,"23,4",21
Guatemala,,,,,"62,2",
Haiti,,,,,,"91,8"
Hungary,,,"41,1",,"56,2",
India,,"7,2","13,6","7,3","14,1","12,1"
Indonesia,,,,"25,7",25,
Iran,,,,"39,4",42,
Iraq,,,,,"33,5","38,6"
Italy,,,,,"31,2",
Japan,"60,5","74,6","33,2","30,1","23,7","21,2"
Jordan,,,,"7,3","3,3","9,1"
Kazakhstan,,,,,,"28,1"
Kuwait,,,,,,"24,3"
Kyrgyzstan,,,,"42,7",,"35,8"
Latvia,,,"66,7",,,
Lebanon,,,,,,"51,6"
Libya,,,,,,45
Lithuania,,,"51,3",,,
Macedonia,,,"56,6",45,,
Malaysia,,,,,"15,6","19,8"
Mali,,,,,"15,8",
Mexico,"51,5","52,8","40,4","44,5","35,6","40,7"
Moldova,,,"42,5","41,1",62,
Montenegro,,,"36,3","46,8",,
Morocco,,,,"23,4","30,4",21
Netherlands,,,,,"51,4","39,4"
New Zealand,,,"35,7",,"25,1","16,4"
Nigeria,,"38,9","53,1","52,5",,"35,6"
Norway,,,"26,9",,"34,7",
Pakistan,,,3,"14,1",,"15,5"
Palestine,,,,,,"49,1"
Peru,,,"56,1","77,5","75,7",65
Philippines,,,"31,3","25,3",,"28,7"
Poland,,"33,8","19,3",,"30,8","29,8"
Puerto Rico,,,"35,6","45,3",,
Qatar,,,,,,"4,6"
Romania,,,"17,5",,"17,4","31,7"
Russia,,"29,5","30,4",,32,"31,7"
Rwanda,,,,,,"35,2"
Saudi Arabia,,,,"3,5",,
Serbia,,,"37,3","25,3",,
Slovakia,,"62,8","30,5",,,
Slovenia,,,"53,8",,60,"63,1"
South Africa,"42,1","36,6","40,3","33,9","34,6","47,6"
South Korea,13,"20,2","29,3","34,7","48,1","36,4"
Spain,,"63,2","54,8","54,4","45,2","46,4"
Sweden,"38,2",,"44,6",,"51,8","44,9"
Switzerland,,,48,,"47,6",
Taiwan,,,"23,1",,"57,2","41,3"
Tanzania,,,,"8,4",,
Thailand,,,,,"48,4","28,1"
Trinidad and Tobago,,,,,"60,1",54
Tunisia,,,,,,"34,9"
Turkey,,"8,8","5,7","13,2","13,5","23,8"
Uganda,,,,"23,8",,
Ukraine,,,"29,4",,36,"41,2"
United Kingdom,,,,,"20,6",
United States,"18,9",,"13,4","18,2","17,1","16,5"
Uruguay,,,"61,9",,"58,8","59,4"
Uzbekistan,,,,,,"3,8"
Venezuela,,,"40,1","36,1",,
Vietnam,,,,"42,5","2,2",
Yemen,,,,,,"53,5"
Zambia,,,,,"43,1",
Zimbabwe,,,,"57,1",,"40,2"
