Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,63,"57,7",,
Algeria,,,,"61,6",,"54,2"
Argentina,"68,3","91,8","85,5","82,5","87,4","78,6"
Armenia,,,"73,2",,,"58,5"
Australia,"75,6",,"70,8",,"70,6",71
Azerbaijan,,,"63,6",,,"55,5"
Bangladesh,,,"42,7","24,3",,
Belarus,,"74,6","49,6",,,"54,8"
Bosnia and Herzegovina,,,"39,5","72,1",,
Brazil,,"51,8",,,"53,8","57,1"
Bulgaria,,,"51,4",,"66,9",
Burkina Faso,,,,,"35,7",
Canada,,,,"60,9","61,5",
Chile,,"52,8","51,6","52,6",57,"50,4"
China,,"46,5",,"15,6","15,5","21,5"
Colombia,,,"63,3",,"67,5","76,8"
Croatia,,,"66,8",,,
Cyprus,,,,,"59,5","51,6"
Czech Republic,,"71,6","51,6",,,
Dominican Rep.,,,"75,8",,,
Ecuador,,,,,,71
Egypt,,,,"24,2","47,1","72,4"
El Salvador,,,"80,4",,,
Estonia,,,"48,9",,,"34,8"
Ethiopia,,,,,"64,6",
Finland,"43,1",,"46,8",,"36,4",
France,,,,,"60,1",
Georgia,,,"64,9",,"48,4","59,2"
Germany,,,"58,1",,"62,4","47,5"
Ghana,,,,,"45,3","41,6"
Guatemala,,,,,"74,6",
Haiti,,,,,,"61,1"
Hungary,"27,2",,65,,"64,7",
India,,"46,4",38,"38,5","35,4","31,7"
Indonesia,,,,"55,4","49,8",
Iran,,,,"36,2","67,7",
Iraq,,,,,,60
Italy,,,,,"63,4",
Japan,"65,4","72,4","42,7","44,9",50,"42,8"
Jordan,,,,"36,8","30,5",55
Kazakhstan,,,,,,"55,6"
Kuwait,,,,,,
Kyrgyzstan,,,,"59,2",,"46,5"
Latvia,,,"55,2",,,
Lebanon,,,,,,"60,9"
Libya,,,,,,"62,5"
Lithuania,,,"50,8",,,
Macedonia,,,"74,7","81,2",,
Malaysia,,,,,"35,9","22,2"
Mali,,,,,"36,9",
Mexico,"65,6","61,3","62,8","63,3","67,4","75,4"
Moldova,,,"62,6","61,6","72,6",
Montenegro,,,"58,3",69,,
Morocco,,,,"50,6","47,8","47,3"
Netherlands,,,,,"47,1","51,7"
New Zealand,,,"67,9",,"59,1",57
Nigeria,,"33,4","48,8","33,8",,"51,8"
Norway,,,"32,6",,"33,5",
Pakistan,,,,"55,6",,"51,2"
Palestine,,,,,,"60,3"
Peru,,,"76,8","74,1","79,4","77,6"
Philippines,,,"43,2",45,,"48,7"
Poland,,"62,3","61,9",,"55,8","54,9"
Puerto Rico,,,56,56,,
Qatar,,,,,,
Romania,,,"58,2",,"56,3","74,6"
Russia,,"50,3","49,8",,"49,9","53,3"
Rwanda,,,,,"45,9","49,9"
Saudi Arabia,,,,,,
Serbia,,,"64,6","62,5",,
Slovakia,,"75,7","58,7",,,
Slovenia,,,"67,9",,"65,4","74,9"
South Africa,"61,5","32,5","46,3","42,9","43,8","50,7"
South Korea,"38,8",33,"43,8","44,6","56,5","60,8"
Spain,,"59,4","63,6",,"66,1","75,1"
Sweden,"47,3",,"52,4","55,8","45,7","43,4"
Switzerland,,,"54,9",,"55,2",
Taiwan,,,40,,"72,8","32,8"
Tanzania,,,,"26,4",,
Thailand,,,,,"65,7",47
Trinidad and Tobago,,,,,"68,2","67,5"
Tunisia,,,,,,"65,4"
Turkey,,"50,6","39,4","41,5","51,7","53,4"
Ukraine,,,"53,9",,"49,5","60,8"
United Kingdom,,,,,"59,6",
United States,"63,4",,"57,3","58,2","67,6","73,3"
Uruguay,,,"61,4",,"65,5","63,8"
Uzbekistan,,,,,,"17,8"
Venezuela,,,"70,1","75,6",,
Vietnam,,,,,"8,3",
Yemen,,,,,,"39,8"
Zambia,,,,,"58,8",
Zimbabwe,,,,,,"53,7"
