Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,"36,5",53,,
Algeria,,,,"59,1",,"57,8"
Argentina,"27,1","83,3","79,8","82,5","82,5","70,5"
Armenia,,,"67,6",,,"70,1"
Australia,"44,6",,"67,8",,"64,7","69,4"
Azerbaijan,,,"23,5",,,"36,3"
Bangladesh,,,"14,3","10,9",,
Belarus,,"70,2","61,3",,,50
Bosnia,,,"43,9",,,
Bosnia and Herzegovina,,,,"78,5",,
Brazil,,"75,7",,,74,"76,9"
Bulgaria,,,"50,9",,"76,8",
Burkina Faso,,,,,51,
Canada,,,,"56,4","58,2",
Chile,,"36,6","60,1","63,4","72,6","73,1"
China,,"18,1",,"4,9","7,4","11,6"
Colombia,,,"73,3",,"71,1","77,5"
Croatia,,,"55,4",,,
Cyprus,,,,,"50,8","56,4"
Czech Republic,,"51,5",77,,,
Dominican Rep.,,,"81,6",,,
Ecuador,,,,,,"70,2"
Egypt,,,,31,,"74,2"
El Salvador,,,"67,6",,,
Estonia,,,"53,5",,,"56,4"
Ethiopia,,,,,69,
Finland,35,,"67,4",,"43,5",
France,,,,,"63,3",
Georgia,,,"57,8",,"68,3","65,9"
Germany,,,"74,1",,"75,3","53,8"
Ghana,,,,,"34,3","43,6"
Guatemala,,,,,87,
Haiti,,,,,,"80,8"
Hungary,"7,1",,"58,5",,81,
India,,"32,6","28,3","33,7","28,3","36,7"
Indonesia,,,,"52,7",59,
Iran,,,,"25,1","57,4",
Iraq,,,,,,"72,3"
Italy,,,,,"64,4",
Japan,"68,5",70,"67,7","71,2","70,9",67
Jordan,,,,"31,1","30,7","72,3"
Kazakhstan,,,,,,"32,9"
Kuwait,,,,,,48
Kyrgyzstan,,,,"63,6",,"44,3"
Latvia,,,"72,1",,,
Lebanon,,,,,,"62,9"
Libya,,,,,,"73,7"
Lithuania,,,"65,3",,,
Macedonia,,,"78,8","91,8",,
Malaysia,,,,,"32,3",31
Mali,,,,,"36,8",
Mexico,"72,5","64,3","54,4","70,3","72,9","73,8"
Moldova,,,"57,6","63,2","70,8",
Montenegro,,,50,"62,9",,
Morocco,,,,"62,2","52,2","55,8"
Netherlands,,,,,"67,4","60,4"
New Zealand,,,"79,9",,"59,9","55,3"
Nigeria,,"45,8",67,"52,5",,"60,2"
Norway,,,"30,2",,"37,4",
Pakistan,,,,"23,4",,"69,1"
Palestine,,,,,,"60,8"
Peru,,,"78,4","89,2","89,5","86,9"
Philippines,,,"39,6","37,9",,"40,3"
Poland,,"19,5",59,,81,"82,8"
Puerto Rico,,,"68,7","70,6",,
Qatar,,,,,,"13,7"
Romania,,,"75,5",,"78,9","81,1"
Russia,,"48,8","71,2",,"63,1","58,5"
Rwanda,,,,,"19,4",35
Serbia,,,"62,1","68,7",,
Slovakia,,"64,4","65,4",,,
Slovenia,,,"71,7",,"78,4","91,6"
South Africa,"56,2",31,"28,5","38,4","33,5","52,5"
South Korea,31,"65,2","68,5","84,4","73,8","74,1"
Spain,,69,"60,1","48,1","47,6","61,8"
Sweden,"50,5",,54,"47,8","42,7","37,9"
Switzerland,,,53,,"43,9",
Taiwan,,,51,,"85,2","65,1"
Tanzania,,,,"19,9",,
Thailand,,,,,67,"48,8"
Trinidad and Tobago,,,,,"81,4","67,1"
Tunisia,,,,,,"83,4"
Turkey,,"40,4","45,6","50,7","36,6","41,8"
Uganda,,,,"22,6",,
Ukraine,,,"55,8",,"70,6","79,5"
United Kingdom,,,,,"60,4",
United States,"46,5",,66,"60,5","75,1","76,7"
Uruguay,,,"58,2",,"51,4",54
Uzbekistan,,,,,,"4,5"
Venezuela,,,"75,1","64,2",,
Vietnam,,,,"3,3","1,2",
Yemen,,,,,,"73,4"
Zambia,,,,,"55,3",
Zimbabwe,,,,"43,3",,"51,5"
