Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,"26,6","34,7",,
Algeria,,,,"31,6",,"42,4"
Argentina,"74,2","73,7","76,2","74,3","77,7",74
Armenia,,,67,,,"58,9"
Australia,"19,8",,"24,3",,"16,6","15,6"
Azerbaijan,,,54,,,"39,7"
Bangladesh,,,"58,5","46,4",,
Belarus,,62,"60,7",,,45
Bosnia and Herzegovina,,,,"36,3",,
Brazil,,"77,7",,,"54,8","54,6"
Bulgaria,,,"45,9",,44,
Burkina Faso,,,,,"44,1",
Canada,,,,"21,3","18,1",
Chile,,"41,3",49,"44,4","42,3",35
China,,"30,6",,"26,9","20,5","24,2"
Colombia,,,"49,6",,"49,6","54,3"
Croatia,,,"38,6",,,
Cyprus,,,,,"35,1","42,9"
Czech Republic,,"65,7","54,6",,,
Dominican Rep.,,,82,,,
Ecuador,,,,,,"52,9"
Egypt,,,,"12,6",,"49,5"
El Salvador,,,"50,8",,,
Estonia,,,"48,1",,,22
Ethiopia,,,,,"63,3",
Finland,"12,5",,"14,2",,"8,3",
France,,,,,"28,6",
Georgia,,,"60,9",,"49,4","46,9"
Germany,,,"38,4",,"25,8","17,2"
Ghana,,,,,"44,8","43,2"
Guatemala,,,,,"74,6",
Haiti,,,,,,"93,4"
Hungary,,,"44,3",,"52,2",
India,,"60,3","51,2","55,5","31,4","46,8"
Indonesia,,,,"47,2","48,5",
Iran,,,,"32,2","43,6",
Iraq,,,,,,"41,5"
Italy,,,,,"21,4",
Japan,"29,7","40,8",21,"47,3","32,2","25,9"
Jordan,,,,9,"7,4","17,4"
Kazakhstan,,,,,,"49,7"
Kuwait,,,,,,"27,2"
Kyrgyzstan,,,,"76,4",,"44,7"
Latvia,,,"67,3",,,
Lebanon,,,,,,"54,4"
Libya,,,,,,40
Lithuania,,,"74,9",,,
Macedonia,,,"69,6","48,4",,
Malaysia,,,,,"25,4","26,2"
Mali,,,,,"30,7",
Mexico,"68,4","67,2","66,3","68,9","65,5","71,5"
Moldova,,,"65,8","64,1","75,2",
Montenegro,,,"42,9","57,8",,
Morocco,,,,"42,2","37,4","32,6"
Netherlands,,,,,40,"31,2"
New Zealand,,,"18,9",,"23,3","16,9"
Nigeria,,"55,6","68,2","64,2",,70
Norway,,,"14,4",,"12,7",
Pakistan,,,"83,6","68,8",,"77,4"
Palestine,,,,,,"41,9"
Peru,,,"73,6","83,1","83,4","71,5"
Philippines,,,"44,1","38,8",,"32,9"
Poland,,"64,1","45,1",,51,"43,7"
Puerto Rico,,,"43,3","42,4",,
Qatar,,,,,,"3,4"
Romania,,,"58,2",,"58,5",56
Russia,,63,"68,4",,"64,3","64,2"
Rwanda,,,,,"14,1","36,7"
Serbia,,,"53,8",51,,
Slovakia,,"72,8","59,5",,,
Slovenia,,,"51,3",,"59,7","55,8"
South Africa,"41,1","35,1","24,9","42,3","37,5","51,2"
South Korea,"26,1","46,6","52,3","48,7","41,3","41,5"
Spain,,"76,1","36,9","36,8","35,2","39,9"
Sweden,"20,5",,"18,7","24,3","22,2","20,4"
Switzerland,,,"30,5",,"16,3",
Taiwan,,,"39,6",,"62,3",34
Tanzania,,,,"31,8",,
Thailand,,,,,"56,4","49,8"
Trinidad and Tobago,,,,,"71,6","69,5"
Tunisia,,,,,,"36,2"
Turkey,,"36,7",27,"28,1","27,4","24,2"
Uganda,,,,"43,8",,
Ukraine,,,"58,9",,"61,3","68,3"
United Kingdom,,,,,"27,2",
United States,"23,6",,"27,9","28,3","28,7",30
Uruguay,,,"46,8",,"46,7","42,2"
Uzbekistan,,,,,,"14,7"
Venezuela,,,"69,2","58,5",,
Vietnam,,,,"6,6","8,5",
Yemen,,,,,,"61,3"
Zambia,,,,,"53,6",
Zimbabwe,,,,"34,9",,"43,5"
