Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,"78,1","62,6",,
Algeria,,,,"49,9",,"62,3"
Argentina,"53,2","72,7","65,2","60,1","61,9","59,8"
Australia,"71,3",,"82,6",,"87,3","81,7"
Azerbaijan,,,"64,2",,,"48,7"
Bangladesh,,,"26,3","6,6",,
Belarus,,"74,4","56,8",,,"60,6"
Bosnia and Herzegovina,,,,"74,6",,
Brazil,,"45,1",,,"56,2","52,9"
Bulgaria,,,"46,7",,"46,7",
Burkina Faso,,,,,"37,8",
Canada,,,,"64,6","64,7",
Chile,,"57,3",48,"51,7","55,3","45,4"
China,,"41,3",,"28,6","24,6","25,9"
Colombia,,,"53,9",,55,"63,1"
Croatia,,,"74,8",,,
Cyprus,,,,,"64,9","55,5"
Czech Republic,,"53,9","55,5",,,
Dominican Rep.,,,65,,,
Ecuador,,,,,,"54,2"
Egypt,,,,"28,3","33,4","58,6"
El Salvador,,,"53,4",,,
Estonia,,,"44,6",,,"54,4"
Ethiopia,,,,,"65,4",
Finland,"65,4",,"68,9",,"66,8",
France,,,,,"61,4",
Georgia,,,"39,4",,"65,2","75,8"
Germany,,,"81,7",,"69,1","54,7"
Ghana,,,,,"41,8","38,8"
Guatemala,,,,,"54,4",
Haiti,,,,,,"74,1"
Hungary,18,,"67,5",,"77,9",
India,,"33,7","30,4","25,1","20,1","25,8"
Indonesia,,,,"43,2","46,1",
Iran,,,,"55,3","70,1",
Iraq,,,,,,"69,1"
Italy,,,,,"73,5",
Japan,"44,5","43,8","25,5",26,"24,6","25,1"
Jordan,,,,"38,1",30,"65,3"
Kazakhstan,,,,,,"47,1"
Kuwait,,,,,,"64,2"
Kyrgyzstan,,,,"55,9",,"43,4"
Latvia,,,"49,9",,,
Lebanon,,,,,,"62,1"
Libya,,,,,,"76,5"
Lithuania,,,"28,2",,,
Macedonia,,,"76,5","78,8",,
Malaysia,,,,,"36,3","31,4"
Mali,,,,,"39,2",
Mexico,"63,8","50,8","48,1","54,8","48,9","69,9"
Moldova,,,"64,1","54,9","58,6",
Montenegro,,,"63,3","72,8",,
Morocco,,,,"50,3","44,6","45,7"
Netherlands,,,,,"66,3","62,1"
New Zealand,,,"63,2",,"67,4",68
Nigeria,,"28,6","41,6","35,1",,"38,5"
Norway,,,67,,"63,4",
Pakistan,,,46,"41,1",,56
Palestine,,,,,,"57,7"
Peru,,,"67,1","76,4","79,3","67,8"
Philippines,,,"27,8","32,7",,"32,6"
Poland,,"49,6",50,,59,"68,1"
Puerto Rico,,,"49,8","58,2",,
Qatar,,,,,,"28,1"
Romania,,,61,,"53,1","70,4"
Russia,,"54,5","58,7",,"61,5","64,2"
Rwanda,,,,,"28,1","48,3"
Saudi Arabia,,,,"35,9",,
Serbia,,,"73,2","67,1",,
Slovakia,,"63,3","56,7",,,
Slovenia,,,"55,8",,"70,6","75,8"
South Africa,"54,9","37,9","41,6","32,8","36,9","43,1"
South Korea,"30,1","33,4","35,2","33,8","35,7","38,8"
Spain,,"55,5","55,3",58,"56,9","67,2"
Sweden,"70,6",,"70,8","53,5",66,63
Switzerland,,,"76,6",,"64,2",
Taiwan,,,"56,4",,"82,1","65,3"
Tanzania,,,,"23,2",,
Thailand,,,,,56,53
Trinidad and Tobago,,,,,"79,1","68,3"
Tunisia,,,,,,"74,8"
Turkey,,"55,9","49,1","63,1","66,8","57,5"
Uganda,,,,"31,5",,
Ukraine,,,"53,1",,"49,8","46,9"
United Kingdom,,,,,"84,1",
United States,"49,5",,"70,9","72,9","73,7","75,5"
Uruguay,,,"39,2",,"48,7","52,4"
Uzbekistan,,,,,,"16,2"
Venezuela,,,"40,4","35,2",,
Vietnam,,,,15,"10,6",
Yemen,,,,,,"66,4"
Zambia,,,,,"48,3",
Zimbabwe,,,,"40,8",,"60,9"
